"City","Slug","Action","Src","Folder","File","NewName","Caption"
"chiang-mai","ristr8to","import","D:\Google Photos\Food 2013\Thai13-0058.jpg","Food 2013","Thai13-0058.jpg","ristr8to-4.jpg","Chiang Mai - Ristr8to"
"chiang-mai","ristr8to","import","D:\Google Photos\Food 2013\Thai13-0059.jpg","Food 2013","Thai13-0059.jpg","ristr8to-5.jpg","Chiang Mai - Ristr8to"
"chiang-mai","ristr8to","dup-skip","D:\Google Photos\Food 2013\Thai13-0060.jpg","Food 2013","Thai13-0060.jpg","","Chiang Mai - Ristr8to"
"chiang-mai","ristr8to","dup-skip","D:\Google Photos\Food 2013\Thai13-0061.jpg","Food 2013","Thai13-0061.jpg","","Chiang Mai - Ristr8to"
"chiang-mai","ristr8to","dup-skip","D:\Google Photos\Food 2025\SEA25-0802.jpg","Food 2025","SEA25-0802.jpg","","Chiang Mai - Ristr8to"
"chiang-mai","jasmine","dup-skip","D:\Google Photos\Food 2014\TH14-0141.jpg","Food 2014","TH14-0141.jpg","","Chiang Mai - Jasmine"
"chiang-mai","jasmine","dup-skip","D:\Google Photos\Food 2014\TH14-0142.jpg","Food 2014","TH14-0142.jpg","","Chiang Mai - Jasmine"
"bangkok","yong-he-dou-jiang","import","D:\Google Photos\Food 2014\TH14-0220.jpg","Food 2014","TH14-0220.jpg","yong-he-dou-jiang-4.jpg","Bangkok - Yong He Dou Jiang"
"bangkok","yong-he-dou-jiang","import","D:\Google Photos\Food 2014\TH14-0221.jpg","Food 2014","TH14-0221.jpg","yong-he-dou-jiang-5.jpg","Bangkok - Yong He Dou Jiang"
"bangkok","yong-he-dou-jiang","import","D:\Google Photos\Food 2014\TH14-0222.jpg","Food 2014","TH14-0222.jpg","yong-he-dou-jiang-6.jpg","Bangkok - Yong He Dou Jiang"
"bangkok","hemlock","dup-skip","D:\Google Photos\Food 2014\TH14-0289.jpg","Food 2014","TH14-0289.jpg","","Bangkok - Hemlock"
"bangkok","hemlock","dup-skip","D:\Google Photos\Food 2014\TH14-0290.jpg","Food 2014","TH14-0290.jpg","","Bangkok - Hemlock"
"bangkok","hemlock","dup-skip","D:\Google Photos\Food 2014\TH14-0291.jpg","Food 2014","TH14-0291.jpg","","Bangkok - Hemlock"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0315.jpg","Food 2014","TH14-0315.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0316.jpg","Food 2014","TH14-0316.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0317.jpg","Food 2014","TH14-0317.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0340.jpg","Food 2014","TH14-0340.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0341.jpg","Food 2014","TH14-0341.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","sushi-den-ctw","dup-skip","D:\Google Photos\Food 2014\TH14-0342.jpg","Food 2014","TH14-0342.jpg","","Bangkok - Sushi Den @ CTW"
"bangkok","din-tai-fung","dup-skip","D:\Google Photos\Food 2016\Bkk16-0005.jpg","Food 2016","Bkk16-0005.jpg","","Bangkok - Din Tai Fung"
"bangkok","din-tai-fung","dup-skip","D:\Google Photos\Food 2016\Bkk16-0006.jpg","Food 2016","Bkk16-0006.jpg","","Bangkok - Din Tai Fung"
"bangkok","rung-rueang","dup-skip","D:\Google Photos\Food 2016\Bkk16-0065.jpg","Food 2016","Bkk16-0065.jpg","","Bangkok - Rung Rueang"
"bangkok","al-hussain","import","D:\Google Photos\Food 2016\Bkk16-0072.jpg","Food 2016","Bkk16-0072.jpg","al-hussain-2.jpg","Bangkok - Al Hussain"
