"Cat","Slug","Action","NewName","Folder","File","Caption","How"
"cafes","akha-ama","skip:dup of akha-ama-1.jpg","","more restos 2020-2026","TH24-0206.jpg","Chiang Mai - Akha Ama","exact"
"street-food","aroon-rai","skip:dup of aroon-rai-1.jpg","","Food 2024","TH24-0129.jpg","Chiang Mai - Aroon Rai","exact"
"street-food","aroon-rai","skip:dup of aroon-rai-2.jpg","","Food 2024","TH24-0131.jpg","Chiang Mai - Aroon Rai","exact"
"street-food","at-thaifoods","skip:dup of at-thaifoods-1.jpg","","Food 2025","SEA25-0765.jpg","Chiang Mai - A.T. Thaifoods","exact"
"street-food","at-thaifoods","skip:dup of at-thaifoods-2.jpg","","Food 2025","SEA25-0766.jpg","Chiang Mai - A.T. Thaifoods","exact"
"restaurants","auf-der-au-german-buffet","skip:dup of auf-der-au-german-buffet-1.jpg","","Food 2024","TH24-0136.jpg","Chiang Mai - Auf der Au","near-miss"
"restaurants","auf-der-au-german-buffet","skip:dup of auf-der-au-german-buffet-2.jpg","","Food 2024","TH24-0137.jpg","Chiang Mai - Auf der Au","near-miss"
"cafes","baristro-asian-style","skip:dup of baristro-asian-style-1.jpg","","Food 2025","SEA25-0808.jpg","Chiang Mai - The Baristro Asian Style","exact"
"cafes","baristro-asian-style","skip:dup of baristro-asian-style-main.jpg","","more restos 2020-2026","SEA25-0807.jpg","Chiang Mai - The Baristro Asian Style","exact"
"cafes","baristro-asian-style","skip:dup of baristro-asian-style-main-2.jpg","","more restos 2020-2026","SEA25-0812.jpg","Chiang Mai - The Baristro Asian Style","exact"
"street-food","barnakarn-kitchen","skip:dup of barnakarn-kitchen-1.jpg","","Food 2024","TH24-0073.jpg","Chiang Mai - Barnakarn","near-miss"
"street-food","barnakarn-kitchen","skip:dup of barnakarn-kitchen-2.jpg","","Food 2024","TH24-0074.jpg","Chiang Mai - Barnakarn","near-miss"
"street-food","barnakarn-kitchen","skip:dup of barnakarn-kitchen-3.jpg","","Food 2024","TH24-0075.jpg","Chiang Mai - Barnakarn","near-miss"
"street-food","barnakarn-kitchen","skip:dup of barnakarn-kitchen-4.jpg","","Food 2024","TH24-0140.jpg","Chiang Mai - Barnakarn","near-miss"
"cafes","bear-hug-cafe","skip:dup of bear-hug-cafe-1.jpg","","Food 2017","Thai17-0114.jpg","Chiang Mai - Bear Hug","near-miss"
"cafes","bear-hug-cafe","skip:dup of bear-hug-cafe-2.jpg","","Food 2017","Thai17-0115.jpg","Chiang Mai - Bear Hug","near-miss"
"cafes","bear-hug-cafe","skip:dup of bear-hug-cafe-3.jpg","","Food 2017","Thai17-0116.jpg","Chiang Mai - Bear Hug","near-miss"
"restaurants","blue-diamond-breakfast-club","skip:dup of blue-diamond-breakfast-club-2.jpg","","Food 2017","Thai17-0229.jpg","Chiang Mai - Blue Diamond","near-miss"
"restaurants","blue-diamond-breakfast-club","skip:dup of blue-diamond-breakfast-club-3.jpg","","Food 2017","Thai17-0230.jpg","Chiang Mai - Blue Diamond","near-miss"
"restaurants","blue-diamond-breakfast-club","skip:dup of blue-diamond-breakfast-club-1.jpg","","Food 2024","TH24-0142.jpg","Chiang Mai - Blue Diamond","near-miss"
"restaurants","by-hand-pizza","skip:dup of by-hand-pizza-main.jpg","","more restos 2020-2026","TH24-0122.jpg","Chiang Mai - By Hand Pizza","exact"
"restaurants","cherng-doi-roast-chicken","skip:dup of cherng-doi-roast-chicken-1.jpg","","Food 2024","TH24-0143.jpg","Chiang Mai - Cherng Doi Roast Chicken","exact"
"restaurants","coconut-shell-thai-food","skip:dup of coconut-shell-thai-food-1.jpg","","Food 2025","SEA25-0708.jpg","Chiang Mai - Coconut Shell","near-miss"
"restaurants","coconut-shell-thai-food","skip:dup of coconut-shell-thai-food-2.jpg","","Food 2025","SEA25-0709.jpg","Chiang Mai - Coconut Shell","near-miss"
"restaurants","coconut-shell-thai-food","skip:dup of coconut-shell-thai-food-3.jpg","","Food 2025","SEA25-0756.jpg","Chiang Mai - Coconut Shell","near-miss"
"restaurants","dao-chinese-restaurant","skip:dup of dao-chinese-restaurant-1.jpg","","Food 2025","SEA25-0752.jpg","Chiang Mai - Dao Chinese Restaurant","exact"
