"City","Slug","Locked","MaxN","NumImgs","Title","Path"
"bangkok","buasaard","True","0","3","Buasaard","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\buasaard\index.md"
"bangkok","isara-brewery","True","4","4","Isara Local Bar & Brewery","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\isara-brewery\index.md"
"bangkok","moonshine-bar","True","3","3","Moonshine Bar","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\moonshine-bar\index.md"
"bangkok","octave-rooftop","True","12","9","Octave Rooftop Lounge & Bar","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\octave-rooftop\index.md"
"bangkok","river-vibe","True","4","4","River Vibe Bar & Restaurant","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\river-vibe\index.md"
"bangkok","samkaew-craft-beer","True","3","4","Samkaew Craft Beer Kanlapaphruek","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\samkaew-craft-beer\index.md"
"bangkok","tawandang","True","4","4","Tawandang German Brewery","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\tawandang\index.md"
"bangkok","tilac","True","0","0","Tilac","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\bars-pubs\tilac\index.md"
"bangkok","air-space","True","1","1","Air Space","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\air-space\index.md"
"bangkok","akart","True","0","0","AKART Bistro & Bar","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\akart\index.md"
"bangkok","anan-cafe","True","0","0","Anan Cafe","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\anan-cafe\index.md"
"bangkok","art-cafe","True","0","0","Art Cafe & Bistro","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\art-cafe\index.md"
"bangkok","artis-coffee","True","0","0","Artis Coffee Bangkok","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\artis-coffee\index.md"
"bangkok","bake-brothers","True","0","0","Bake Brothers","C:\Users\andre\Documents\andrestgt.github.io\food\thailand\bangkok\cafes\bake-brothers\index.md"
